iter,dual_obj,r
0,-0.9999999999999993,0.094210682787038
1,-1.0118484240626489,1.7644718705284623
2,-1.0118478146527263,0.15767440351546377
3,-1.0386601513194837,0.43318377233627775
4,-1.0386595483490522,0.13227842563679026
5,-1.2676775121147381,0.05678813016505775
6,-1.3875108565414973,0.11315715549482344
7,-1.452690791482075,0.07867334360690396
8,-1.5530845963508426,0.07564645088305899
9,-1.553083598946305,0.07440521179584282
10,-1.5594186856161034,0.07666726198298293
11,-1.5660384811546955,0.07362473243671414
12,-1.567534302493403,0.07603792068572206
13,-1.82362373981474,0.6300275084598701
14,-1.823622700042112,0.07482557194802544
15,-2.4840387875083962,1.0601356966044622
16,-2.79098759321883,0.08681857513320869
17,-3.0313558272078467,0.9267192901773706
18,-3.2771465819457433,0.07582963113936701
19,-3.924644042710554,0.61270514602645
20,-4.020491824812126,0.09260374156841003
21,-5.273144957399154,0.8483235423688246
22,-8.125434245063389,1.8464756384132872
23,-135.4485102148319,0.8136440828828349
24,-898.0245265044214,0.520229493803571
25,-1044.8474403400614,0.10809773335258377
26,-1405.3507522589352,0.49221782736103514
27,-1405.3499745114823,0.11219939942310668
28,-4675.141693278216,0.7032017736153297
29,-4675.141693278216,0.09992948812275562
