iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
0,-0.9999999999999996,0.39830752629073624,1.0,0.0,0,
1,-1.057329543113902,0.3404911765619773,1.0,0.9403760772826244,4,⊕
2,-1.0896410502314442,0.12153606133732159,1.5,1.0305086521906783,4,⊕
3,-1.1198038962427361,0.07233076353997087,2.25,1.0209730546280167,5,⊕
4,-1.1363350735094642,0.03265896533656823,2.6180768400385936,1.0184561364567306,8,✓
5,-1.1367387165289262,0.0021751841069330025,2.6180768400385936,1.0012733261118443,8,✓
6,-1.136782842823921,0.00010425791722097662,2.6180768400385936,1.000171418728593,16,✓
7,-1.1367829582163242,8.636078976375011e-7,2.6180768400385936,0.9999947099160951,24,✓
