iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
53,-203.91397134322142,2.7310444924582025,2849.7562446693387,0.8269301338825377,3,⊕
54,-203.91397134322142,2.7310444924582025,153.4171811297665,-3.1253839466321307,1,⊕
55,-203.91397134322142,2.7310444924582025,8.259243754559996,-1.028719588375372,2,⊕
56,-204.56294073817844,8.615113500623703,8.259243754559996,0.1237100997851198,1,⊕
57,-205.32028762949994,2.730252556028659,8.259243754559996,0.03581427144610965,2,⊕
58,-208.8051616743578,8.619163890254098,8.259243754559996,0.3849179392959174,1,⊕
59,-209.56070929093949,2.676478042371998,8.259243754559996,0.04119596147102677,1,⊕
60,-210.3630562900671,8.572950238799011,8.259243754559996,0.11431713861635208,1,⊕
61,-211.01470333734142,2.157240804654899,8.259243754559996,0.031501845425629955,1,⊕
62,-213.81300658793407,3.5618830576886324,8.259243754559996,0.7961753563222397,2,⊕
63,-214.54533082660055,0.12895428636790512,12.388865631839995,0.9743837632529888,3,⊕
64,-214.8234853099857,0.176180993714119,12.388865631839995,0.9481486455069252,2,⊕
65,-215.1681082006835,0.05116936095349956,18.583298447759994,1.0207812554132536,3,⊕
66,-215.59403143927193,0.04432893164782003,27.87494767163999,1.0032663147724605,3,⊕
67,-216.1269411797948,0.2560635618079546,41.81242150746,0.9516181686191802,2,⊕
68,-217.09563562856783,0.10817297388973267,62.71863226119001,1.0111116122851485,3,⊕
69,-218.4562841816405,0.028010391724520703,94.07794839178501,1.0012451125102644,3,⊕
70,-220.4658544162412,0.044286446348314364,141.11692258767755,1.0024901910422435,3,⊕
71,-223.47469200531486,0.12340377672117332,211.67538388151632,0.9924325533479672,3,⊕
72,-228.0024301327503,0.049426212838489296,317.5130758222744,1.0007040984004025,3,⊕
73,-234.59047286394343,1.276623102005166,476.26961373341123,0.9937972878964699,3,⊕
74,-235.2326418546727,9.091667998988923,476.26961373341123,0.09482614106818595,4,⊕
75,-235.2326418546727,9.091667998988923,25.64006719291209,-0.17486895768116553,2,⊕
76,-235.2326418546727,9.091667998988923,1.3803379991086926,-1.0003885790076714,1,⊕
77,-241.4781420907275,1.2326705276804812,1.3803379991086926,0.49766999760077457,1,⊕
78,-241.7263215177154,2.483212940902106,1.3803379991086926,0.3797162584443831,1,⊕
79,-241.9220135062751,0.4713341148973574,2.070506998663039,1.0837598729903737,2,⊕
80,-242.01285428885967,0.06128788585188759,3.1057604979945577,1.0058042498038973,2,⊕
