iter,dual_obj,r
0,-0.9999999999999996,0.033251870219551095
1,-1.0000006131666153,1.6951993909940601
2,-1.000000044011481,0.03220082761386228
3,-1.0000005728621801,0.17462552396638287
4,-1.000000647344125,0.1472913599061933
5,-1.0000007289521813,0.1019779782827268
6,-1.0000007750253341,0.05685721426130594
7,-1.0000008056027219,0.04575060739670605
8,-1.0000008242775273,0.029592826124626822
9,-1.0000008364123554,0.020262443960796732
10,-1.0000008433348848,0.016961526980903648
11,-1.0000008481061082,0.009472703145626782
12,-1.000000850933886,0.009667368265749649
13,-1.0000008528416888,0.006592140987264009
14,-1.0000008541638525,0.00449391611027919
15,-1.0000008550203137,0.004618599561755826
16,-1.0000008552921495,0.01406914002512921
17,-1.0000008557092697,0.0029455793345650205
18,-1.0000008559555424,0.00804479545101433
19,-1.0000008561691593,0.002183788841108894
20,-1.0000008563396119,0.0035292792893041945
21,-1.0000008564273235,0.002691147851376234
22,-1.0000008565074396,0.0007986893452641092
23,-1.0000008565539942,0.001485004643537936
24,-1.0000008565778031,0.001169686331341032
25,-1.00000085659384,0.0004162828572323383
26,-1.0000008566027927,0.0003344178144016089
27,-1.000000856607719,0.0002978107039818874
28,-1.0000008566090275,0.000946665598912353
29,-1.000000856610621,0.00027476718599590827
30,-1.000000856611825,0.0003286248734880631
31,-1.0000008566123784,0.0002928410023098687
32,-1.000000856612978,0.0001129480490029182
33,-1.0000008566133836,0.00014358089731867428
34,-1.0000008566135954,0.00015537162757819716
35,-1.0000008566137686,4.2479834099117924e-5
36,-1.0000008566138903,3.5043746644737326e-5
37,-1.0000008566139569,6.658552384172317e-5
38,-1.0000008566139924,4.516078600847144e-5
39,-1.000000856614023,1.4983518473363269e-5
40,-1.0000008566140355,9.050635247716158e-5
41,-1.000000856614046,1.102003544798092e-5
42,-1.0000008566140572,1.95300622732443e-5
43,-1.0000008566140615,3.1873561074236955e-5
44,-1.0000008566140657,1.1225663132145778e-5
45,-1.0000008566140681,1.004445697909605e-5
46,-1.0000008566140695,9.253238495165419e-6
47,-1.0000008566140703,7.206821066095339e-6
48,-1.0000008566140703,2.8301217362728614e-6
49,-1.000000856614071,1.6074178015122662e-6
50,-1.0000008566140715,2.893650153108613e-6
51,-1.0000008566140715,2.2372807171804036e-6
52,-1.0000008566140712,4.231858346628965e-6
53,-1.0000008566140715,8.889226312701318e-7
