iter,dual_obj,r,f_evals,∇f_evals
0,-0.9999999999999997,1.865745076734013,1,1
1,-740961.0349111863,1.2452598660923062,9,9
2,-779272.8907559407,0.9162326600961146,12,12
3,-913852.2949382181,0.7813237098735197,15,15
4,-918609.8297199095,0.9870319921948559,19,19
5,-951226.7047854329,1.0532088827745927,23,23
6,-963358.3999902399,0.9999790728882682,26,26
7,-984161.4980795067,0.9552972260577838,29,29
8,-984787.2682116483,0.9632731774473813,32,32
9,-995922.6632749604,0.9921931707623595,36,36
10,-1.0058470116144156e6,0.9941700542377419,41,41
11,-1.0083172334709344e6,0.9940328737399426,45,45
12,-1.0139920647268982e6,1.0198008560188045,50,50
13,-1.0140731535466097e6,0.9096772530306987,52,52
14,-1.0172993185244803e6,0.9655055017441492,55,55
15,-1.022874367262909e6,0.9987899027588991,59,59
16,-1.0231423102164483e6,0.9924672589070609,66,66
17,-1.0236257981603313e6,0.8702517267410963,75,75
18,-1.0236520186214042e6,0.9975395885168963,79,79
19,-1.0237700492067998e6,0.9765317913728344,87,87
20,-1.0251145484616056e6,0.8210547489685995,93,93
21,-1.0259320633568773e6,0.9376548925085648,98,98
22,-1.0259315594765509e6,0.8344859501229622,118,118
23,-1.0289806967193233e6,1.0003436436763353,123,123
24,-1.029283416491905e6,0.9646019578670508,128,128
25,-1.0302413877433543e6,0.9794272181849086,133,133
26,-1.0304403620501372e6,0.9622011605145011,140,140
27,-1.0314653518353e6,0.805463330914445,143,143
28,-1.0320744160872959e6,0.9483949545299647,146,146
29,-1.0320975817948633e6,0.8480059762621435,154,154
30,-1.0323098809418695e6,0.9719215283237695,158,158
31,-1.0323877951983486e6,0.7988011218240048,164,164
32,-1.0334757599699488e6,0.8454551216714229,168,168
33,-1.0338006897923788e6,0.9913202615935222,171,171
34,-1.0339540988385687e6,0.873303831548986,175,175
35,-1.0343714962682868e6,0.8107768991884847,179,179
36,-1.034381623265676e6,0.9911649540055489,188,188
37,-1.0343809684989143e6,0.9720907898201301,197,197
38,-1.0345356325534368e6,0.7842293566700562,201,201
39,-1.0351934357084539e6,0.8679862311765596,205,205
40,-1.0352096749820029e6,0.910551736582494,209,209
41,-1.0352096139832949e6,0.8369696321260881,218,218
42,-1.0357242344446022e6,0.8349241469071276,296,296
43,-1.0358908469775538e6,0.9825485100465327,302,302
44,-1.0359054449851064e6,0.8646019949876669,307,307
45,-1.0359436845242372e6,0.9063627584173157,310,310
46,-1.0360579023256327e6,0.9534849891336493,316,316
47,-1.0360781854205311e6,0.8367250768614984,320,320
48,-1.036128734137123e6,0.7758951755451986,323,323
49,-1.0362956040837951e6,0.9508972230471879,328,328
50,-1.0362950615364276e6,0.9068114377600345,344,344
51,-1.0363197369252718e6,0.7738248256170794,348,348
52,-1.0363712252413726e6,0.8623429687479748,352,352
53,-1.0363706366505921e6,0.9073172061870742,362,362
54,-1.0364610822692891e6,0.9607014550535743,367,367
55,-1.0364604616866331e6,0.7737180367858053,377,377
56,-1.0364625654552609e6,0.9075497788301303,387,387
57,-1.0366605462903676e6,0.9309876552693505,392,392
58,-1.0366987012403705e6,0.9509080106072217,395,395
