iter,dual_obj,r,f_evals,∇f_evals
0,-1.0000000000000007,0.013711202454538537,1,1
1,-1.0131729898800823,0.25411479949284305,7,7
2,-1.0131722452043161,0.03978136690765002,20,20
3,-1.0131807164448858,0.05516072800427668,24,24
4,-1.013180293277533,0.045262895315226426,26,26
5,-1.0131807169074531,0.06440445525382968,30,30
6,-1.0131812053815616,0.04539663396544821,34,34
7,-1.0131818558298353,0.06006823250341731,38,38
8,-1.0131825441363542,0.04638042442006082,42,42
9,-1.0131839482670728,0.05606771223840229,46,46
10,-1.0131852882327663,0.046694727540254194,50,50
11,-1.0131913864868674,0.04440893036598273,54,54
12,-1.0131963036006426,0.03712084258219517,57,57
13,-1.013227834840302,0.1470427456643942,60,60
14,-1.0132272415244339,0.021973154126252864,67,67
15,-1.0132295637728697,0.024553082706381124,70,70
16,-1.0132300530570122,0.021310415691797036,74,74
17,-1.0132304633467075,0.02191452359278878,77,77
18,-1.0132308758110693,0.020351722335101186,80,80
19,-1.0132312026279608,0.021489813660487023,84,84
20,-1.0132319769444695,0.013945067635797864,88,88
21,-1.0132324795868854,0.020374345737661143,91,91
22,-1.013233834507557,0.01494151973671462,94,94
23,-1.0132375975891537,0.011302660590410851,97,97
24,-1.0132403824073775,0.0007945575656825299,101,101
25,-1.0132408372133144,0.00043944115877580375,106,106
26,-1.013240755806264,0.004716151382242878,108,108
27,-1.0132404539851534,0.0046714215872550036,126,126
28,-1.0132411271944353,0.007289564869402243,130,130
29,-1.0132410166852428,0.0057974414145947895,134,134
30,-1.0132402724076484,0.0060970874835559186,148,148
31,-1.013241158245413,0.006562674566066379,153,153
32,-1.0132409889958909,0.004543756103996016,157,157
33,-1.0132407203175273,0.004328398291751606,177,177
34,-1.0132411607597884,0.006313091552245853,182,182
35,-1.0132410701312131,0.0022987836837946862,187,187
36,-1.0132410763921726,0.0020934440569372326,212,212
37,-1.0132411697906238,0.0033611801850736145,217,217
38,-1.0132411578798912,0.0011682688934679386,222,222
39,-1.0132411435930313,0.0012722756936200674,242,242
40,-1.0132411788360232,0.0020216250225685017,247,247
41,-1.0132411736570797,0.0006988761067433513,252,252
42,-1.0132411699273252,0.0007391981921949509,272,272
43,-1.0132411817869018,0.001167838357432588,277,277
44,-1.0132411801127668,0.0004063723085860893,282,282
45,-1.0132411789200688,0.00042848716948343246,303,303
46,-1.0132411829673313,0.0006763332771501929,308,308
47,-1.0132411824154515,0.00023463897190184602,313,313
48,-1.0132411821769045,0.00024429971795719707,332,332
49,-1.013241183532155,0.0003801388985009424,337,337
50,-1.0132411833693116,0.00013340459899580104,342,342
51,-1.0132411834804878,0.0001323597571483981,349,349
52,-1.0132411797375844,0.0004181193703247099,357,357
53,-1.01324118353897,0.0006593563692956217,362,362
54,-1.013241183196563,0.00022902937819987979,367,367
55,-1.013241182881338,0.00025136415373613885,384,384
56,-1.0132411843335296,0.00036766944310481775,389,389
57,-1.0132411841938305,0.000136237923762772,394,394
58,-1.0132411844809717,0.00014127732206756227,400,400
59,-1.0132411848916956,0.00017829340936370563,405,405
60,-1.0132411849775496,7.437120799153041e-5,410,410
61,-1.0132411855547165,0.000330817664699834,417,417
62,-1.0132411775665322,0.0005161625983265417,426,426
63,-1.0132411865988957,0.0015349004022320867,430,430
64,-1.0132411854376986,0.0009030183294794769,434,434
65,-1.0132411903871064,0.00042779143012838805,439,439
66,-1.0132411909573396,0.00018573048284389881,444,444
67,-1.0132411926993532,0.0008700989117711999,448,448
68,-1.0132411938256842,0.0001938953724141823,452,452
69,-1.0132411943327202,0.00023790283506253118,455,455
70,-1.0132411940653774,0.00011618036722810254,458,458
71,-1.0132411944214064,0.00021263626555659276,461,461
72,-1.0132411945891011,9.043571440370268e-5,465,465
73,-1.0132411946550395,3.3422158237012e-5,469,469
74,-1.0132411946528035,2.2493597540335086e-5,471,471
75,-1.0132411946606035,2.837158218879643e-5,477,477
76,-1.0132411946602655,1.324043222214466e-5,482,482
77,-1.013241194659861,9.534919144349452e-6,494,494
78,-1.0132411946629865,1.509667318044805e-5,499,499
79,-1.0132411946628062,3.823374643274757e-6,504,504
