iter,dual_obj,r,f_evals,∇f_evals
0,-0.9999999999999997,2.193248108367137,1,1
1,-13.23420485044196,0.7288065613364393,3,3
2,-13.23419347013586,0.006526378825877012,11,11
3,-13.234304734610557,0.0012475431406840836,14,14
4,-13.234303825857822,0.0015336651798630047,16,16
5,-13.234304667654914,0.0008303046790642012,19,19
6,-13.234304788193775,0.000798875222549547,21,21
7,-13.234304839124071,0.0008167983062117965,24,24
8,-13.234304877942577,0.0007817274912208091,27,27
9,-13.234305191873654,0.0006843362639642062,31,31
10,-13.234305756225965,0.0006824415525444848,34,34
11,-13.234306393676954,0.00036470235287675533,37,37
12,-13.23430654250666,0.00041077441270208695,40,40
13,-13.234306574350025,0.00026617297249049814,43,43
14,-13.234306586023491,0.00014115880784402492,46,46
15,-13.234306590209492,6.0981678141246165e-5,49,49
16,-13.23430659194894,3.805301635917413e-5,52,52
17,-13.234306592623977,2.340573012511206e-5,55,55
18,-13.234306592888064,1.5277571614794733e-5,58,58
