iter,dual_obj,r,f_evals,∇f_evals
0,-0.9999999999999997,1.9466868064360778,1,1
1,-81178.93534056266,1.1736752976420664,8,8
2,-85638.49705851442,1.22061705359072,12,12
3,-88930.70025994882,0.8659492366415633,16,16
4,-93344.7305811197,1.0911742076747397,20,20
5,-96473.02818347546,0.9355242511444676,24,24
6,-97310.97247979783,0.9957535639910966,29,29
7,-99551.04461630303,0.9239497548258321,34,34
8,-99553.47835313671,0.8263255068145099,42,42
9,-100434.84117133191,0.8949829850985085,46,46
10,-100434.78270488133,0.9877092599571213,71,71
11,-101171.64241750153,0.701006453039879,75,75
12,-101337.7556648467,0.9832516188801869,79,79
13,-101589.94872798136,0.9308441785237168,82,82
14,-101680.07504867461,0.9799202620484839,85,85
15,-101829.65983764626,0.9267837143839657,89,89
16,-101829.5765452709,0.9793683787710572,105,105
17,-101846.02197307532,0.9957611973478652,110,110
18,-102347.997306725,0.6901840503320769,115,115
19,-102347.91692047377,0.965455915017034,135,135
20,-102452.96029552132,0.9066651368492008,141,141
21,-102569.26111128695,0.9030377994322567,146,146
22,-102642.98359237099,0.9868445567577556,149,149
23,-102678.30170825205,0.9885593687467206,183,183
24,-102882.12866391626,0.8876356430351116,188,188
25,-102891.27294194515,0.9389454677689433,195,195
26,-103004.62785395251,0.9521934616838583,199,199
27,-103004.56591191259,0.932445484524146,215,215
28,-103013.84021108453,0.9769570775689529,219,219
29,-103021.48170764264,0.8798162413722189,224,224
30,-103058.67666820729,0.8856690364678789,229,229
31,-103059.55018432502,0.9616937852718952,243,243
32,-103065.17463121857,0.9805456585372745,246,246
33,-103284.90861617381,0.8359964069069086,250,250
34,-103366.57775034744,0.9529231302062094,254,254
35,-103423.14920734236,0.992368603385785,258,258
36,-103486.12926395566,0.8768870568507777,261,261
37,-103486.0279373278,0.9780058188977506,275,275
38,-103499.41050157514,0.9976107140033719,280,280
39,-103540.6415655411,0.9078797327416867,287,287
40,-103574.40988890761,0.9436103673915255,290,290
41,-103599.44537550562,0.8232713713304811,295,295
42,-103635.55656522379,0.7262301983669714,298,298
43,-103640.66215655522,0.9753055310466561,302,302
44,-103640.9662194264,0.81700244893213,309,309
45,-103654.05510406583,0.939712373153053,315,315
46,-103665.7420014286,0.7308973000587043,320,320
47,-103706.40885766213,0.9613463146213705,327,327
48,-103736.02550711384,0.9639899448136385,332,332
49,-103745.51567383099,0.7303930144347386,340,340
50,-103775.84223570503,0.9174916389307113,344,344
51,-103776.42083594057,0.6938368442964515,349,349
52,-103777.7856512534,0.7292548564796772,353,353
53,-103777.73320833947,0.9625905462414739,363,363
54,-103779.04409807002,0.8797471294893631,368,368
55,-103780.03507560948,0.9630812410591846,374,374
56,-103783.1794968791,0.8942727604958681,380,380
57,-103785.27191945483,0.9516612036676636,385,385
58,-103796.92578961582,0.7959693033011468,390,390
59,-103806.41123416068,0.839765070176278,394,394
60,-103806.32291318977,0.9559984345537509,404,404
61,-103807.29050816476,0.8257078734898158,409,409
62,-103807.52706504641,0.9171952994769192,418,418
63,-103808.31762726797,0.8780669146960012,426,426
64,-103810.31040462769,0.6106833698751223,432,432
65,-103810.26831105031,0.7942130339062339,442,442
66,-103811.34114333629,0.42585661972696565,447,447
67,-103811.92603502641,0.8849788374181754,452,452
68,-103812.91968898091,0.6828017401193877,455,455
69,-103815.04813101933,0.7067187755400892,459,459
70,-103815.00695319445,0.5507229829395603,465,465
71,-103815.22091549996,0.6400563367798208,469,469
72,-103815.37141730532,0.6350346924459326,473,473
73,-103815.6151695718,0.43021717191941455,477,477
74,-103815.51476490607,0.6716851701565268,483,483
75,-103816.06227768051,0.5682955688769371,489,489
76,-103817.9478794148,0.8034356100403985,493,493
77,-103818.05969208974,0.4717358774066359,497,497
78,-103818.41776625371,0.7406184954015906,503,503
79,-103820.80276304418,0.553214414718282,509,509
80,-103821.3418149653,0.6345332991121962,512,512
81,-103823.77879477924,0.6425123769359824,516,516
82,-103824.06991543918,0.7072768219370255,526,526
83,-103825.59686412997,0.8534774469414638,529,529
84,-103833.20288097358,0.8851991592530303,533,533
85,-103834.90285243659,0.9457184449764722,538,538
86,-103834.85374776492,0.6309004924952605,550,550
87,-103837.82983708932,0.9492422465834939,557,557
88,-103843.25222155075,0.8148316606237532,561,561
89,-103847.11546431846,0.805594982490934,565,565
90,-103847.84352993526,0.7223946536962024,569,569
91,-103848.04104324979,0.7267932506281715,574,574
92,-103854.64861346266,0.694758243857585,578,578
93,-103855.81732549438,0.9546276773120705,584,584
94,-103866.11089230311,0.9505522129715329,588,588
95,-103866.01153988713,0.9075324614339121,599,599
96,-103867.19779911573,0.42419182465658334,605,605
97,-103869.25266493896,0.593535681175361,609,609
98,-103870.05532333162,0.5173024024022048,613,613
99,-103870.53828861544,0.4375488936512566,616,616
100,-103871.02907837357,0.5868437032775968,620,620
101,-103873.17746848022,0.47128524562465396,625,625
102,-103873.34585352249,0.6246447939711458,628,628
103,-103874.40585983232,0.8574100459256184,633,633
104,-103874.4163788267,0.5895588377626263,636,636
105,-103874.45592461618,0.6056618199255753,641,641
106,-103875.40090255051,0.2899652741562849,645,645
107,-103875.31044902165,0.7292211423165942,675,675
108,-103875.40202642475,0.354321429583892,680,680
109,-103876.07546241628,0.5689953383143195,684,684
110,-103876.39756337885,0.2681844418087169,688,688
111,-103876.79580081048,0.4405051031883712,692,692
112,-103877.00465729045,0.5256476632357606,696,696
113,-103876.9121901165,0.35107809564819425,700,700
114,-103877.309601647,0.6502426756724915,705,705
115,-103877.23984135072,0.30117364774502675,709,709
116,-103877.48087955725,0.5843883096158254,715,715
117,-103878.07982180276,0.29044853302241525,719,719
