iter,dual_obj,r,f_evals,∇f_evals
0,-1.0000000000000007,0.036732696507539096,1,1
1,-1.006534276968913,1.2258714401523703,5,5
2,-1.0077956675769715,0.13596784397868714,8,8
3,-1.0078144527879145,0.02767093044678548,13,13
4,-1.007815579707791,0.018545788405696262,17,17
5,-1.0078158639310901,0.0016395569182019454,22,22
6,-1.0078160514405101,0.007683417508100393,27,27
7,-1.0078162184954997,0.00406572727022117,33,33
8,-1.0078169554922614,0.010056511218282577,37,37
9,-1.0078170311894308,0.001924945255362881,42,42
10,-1.0078171878980156,0.0022321684572109424,45,45
11,-1.0078172219480857,0.0006283207266652713,49,49
12,-1.0078172247631083,0.00026985917442998164,53,53
13,-1.0078172245195285,0.00019984707161879722,60,60
14,-1.007817225388489,0.00022312334248922316,65,65
15,-1.0078172252630944,9.246036043600303e-5,70,70
16,-1.0078172252295268,9.057247834648452e-5,85,85
17,-1.007817225403774,0.00011811076141401977,90,90
18,-1.007817225394035,4.3338746383403404e-5,95,95
19,-1.0078172253605238,5.669594724316829e-5,109,109
20,-1.007817225423651,6.664102157388774e-5,114,114
21,-1.0078172254191178,2.7620027612251796e-5,119,119
22,-1.0078172254143953,2.8980838618686278e-5,133,133
23,-1.0078172254331135,4.3727547910654696e-5,138,138
24,-1.0078172254317528,1.4263615612158942e-5,143,143
25,-1.007817225434662,1.8471621859944554e-5,149,149
26,-1.0078172254400757,2.020034588490205e-5,154,154
27,-1.0078172254408058,9.740378855926934e-6,159,159
28,-1.007817225449613,1.6634919978719687e-5,165,165
29,-1.0078172254523252,2.6250771050922994e-5,170,170
30,-1.0078172254574649,2.0007891551376833e-5,175,175
31,-1.0078172254576179,1.3641208936987503e-5,179,179
32,-1.0078172254581577,5.939032954815904e-6,184,184
