iter,dual_obj,r,f_evals,∇f_evals
0,-0.9999999999999996,0.030824998931086065,1,1
1,-1.0005737964386914,1.6342023648648054,3,3
2,-1.0005729544684248,0.07842321483506283,19,19
3,-1.000626090321726,0.1741923794292826,26,26
4,-1.0006795622476399,0.042822956705933564,29,29
5,-1.0006928460702706,0.05254283749437334,32,32
6,-1.0007088592153628,0.022950611607862433,35,35
7,-1.0007192155114812,0.03740484918268148,38,38
8,-1.0007327103590355,0.02236224176978753,41,41
9,-1.0007464322510538,0.03128578179759362,44,44
10,-1.000754885784024,0.01824373064280425,47,47
11,-1.0007605539173072,0.009517516190067833,50,50
12,-1.0007632079536513,0.01137150485189715,53,53
13,-1.0007743352430163,0.01460828609649811,56,56
14,-1.0007757663859205,0.00462983544844486,58,58
15,-1.0007767965804328,0.02147790195216581,61,61
16,-1.0007778028924494,0.016141639284051292,64,64
17,-1.000778622780019,0.006461233910712184,67,67
18,-1.0007799570804983,0.005869595538296928,70,70
19,-1.0007802744300234,0.008646861976130172,72,72
20,-1.0007805115483968,0.0018273612776713393,75,75
21,-1.0007805693894698,0.0016311810843176154,78,78
22,-1.0007806227618383,0.0014417332957618477,81,81
23,-1.0007806682091962,0.0018417262631744286,84,84
24,-1.0007807112301483,0.0016570980524548999,87,87
25,-1.0007807423918365,0.0008533540193403033,90,90
26,-1.000780754639844,0.0007799011283008864,93,93
27,-1.000780761599371,0.0015208442219355877,96,96
28,-1.0007807651753167,0.000354640508902554,99,99
29,-1.0007807687307475,0.0004240925861667587,102,102
30,-1.0007807718227504,0.00037559916005963683,105,105
31,-1.0007807737300332,0.0003270761438933678,108,108
32,-1.0007807750943543,0.00025632771481112293,111,111
33,-1.0007807759039828,0.00025612420637323457,114,114
34,-1.000780776576121,9.25374510198315e-5,117,117
35,-1.000780776962244,0.00014446744921375196,120,120
36,-1.0007807771887356,0.00013262231084304422,123,123
37,-1.000780777344715,7.182839229554204e-5,126,126
38,-1.0007807774635058,9.447938847814267e-5,129,129
39,-1.0007807774960276,0.00010858128853289527,131,131
40,-1.0007807775515272,3.938744119380798e-5,134,134
41,-1.0007807775918458,4.153268026252004e-5,137,137
42,-1.0007807776073319,3.053200208924528e-5,139,139
43,-1.000780777623351,2.591720559810272e-5,142,142
44,-1.0007807776307984,2.2331883007359567e-5,145,145
45,-1.0007807776372708,1.4073153109352784e-5,148,148
46,-1.0007807776418811,8.037123416309708e-6,151,151
47,-1.0007807776441762,1.4865937113551787e-5,154,154
48,-1.0007807776458957,8.834707919718797e-6,157,157
49,-1.0007807776471807,4.980782502641874e-6,160,160
50,-1.0007807776476434,1.5074482086554906e-5,163,163
51,-1.0007807776479882,3.4296750944175597e-6,166,166
