iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
0,-0.9999999999999996,0.39830752629073624,1.0,0.0,0,
1,-1.0573295431139411,0.34049117655947553,1.0,0.9403760772832552,4,⊕
2,-1.0896410502314708,0.12153606133329141,1.5,1.030508652191204,4,⊕
3,-1.1198038962437362,0.07233076333717081,2.25,1.020973054661763,5,⊕
4,-1.1363349963313318,0.03269001151847513,2.6180768366226683,1.0184513805120032,8,✓
5,-1.1367387263316076,0.0021160436998626233,2.6180768366226683,1.0013008048727112,8,✓
6,-1.136782900525196,7.400908232372698e-5,2.6180768366226683,1.0001542448070273,17,✓
7,-1.1367829582197544,5.310038658044692e-7,2.6180768366226683,0.99999647582193,24,✓
