iter,dual_obj,r,f_evals,∇f_evals
0,-0.9999999999999997,1.960266013685941,1,1
1,-10400.696572233486,0.07200383140252878,6,6
2,-10400.696215251392,0.04096585947239523,12,12
3,-10400.696666615779,0.009644967382535424,15,15
4,-10400.696699894806,0.005953801213290699,17,17
5,-10400.696727081428,0.003333062109830336,20,20
6,-10400.696752332622,0.00474625939778487,23,23
7,-10400.696772038149,0.008012347064395534,27,27
8,-10400.696784392376,0.004533946161509317,32,32
9,-10400.696714865542,0.004668686653359344,46,46
10,-10400.696356302878,0.00966408760777969,63,63
11,-10400.696736807593,0.020149234856738876,68,68
12,-10400.696659950067,0.006575946848616676,73,73
13,-10400.696632515144,0.006068709569243436,94,94
14,-10400.694640739795,0.020993805300996246,105,105
15,-10400.696509594221,0.04563803963598691,110,110
16,-10400.696072056511,0.014775006619478448,115,115
17,-10400.696039310496,0.012724697716786318,139,139
18,-10400.687025262967,0.04491011261214435,150,150
19,-10400.693727763814,0.07334621681053455,154,154
20,-10400.69113596646,0.03698514065799792,156,156
21,-10400.687301636464,0.045602617958491076,182,182
22,-10400.695139994306,0.06279659146280038,186,186
23,-10400.692514104474,0.03405993322480701,188,188
24,-10400.696005025507,0.02037643281555529,193,193
25,-10400.695870051763,0.015496110805085311,197,197
26,-10400.688271964693,0.042985520276952356,212,212
27,-10400.694270715327,0.06370580530903627,216,216
28,-10400.692030649792,0.034937379633318846,218,218
29,-10400.68729606258,0.04581002588063779,243,243
30,-10400.695017616845,0.06406930351814218,247,247
31,-10400.692416881337,0.035098025559142376,249,249
32,-10400.695952215905,0.018600110818854043,254,254
33,-10400.695888484699,0.015148210547761123,259,259
34,-10400.695958659597,0.013405659074299081,287,287
35,-10400.696571380151,0.01995972034246217,291,291
36,-10400.696350147166,0.01071676074362174,293,293
37,-10400.695667711334,0.016064048387885874,315,315
38,-10400.696540263347,0.022153318423634952,319,319
39,-10400.696239666539,0.012612924339669165,321,321
40,-10400.694846871573,0.020737369053242083,341,341
41,-10400.696264593336,0.029315046122989324,345,345
42,-10400.695762678892,0.016584844427513623,347,347
43,-10400.694288122142,0.023817357027733202,368,368
44,-10400.696253265038,0.033196129327644514,372,372
45,-10400.695580717937,0.018565561353901236,374,374
46,-10400.692166414789,0.0320948829293075,393,393
47,-10400.695484951519,0.04497505216563817,397,397
48,-10400.694301762891,0.02579034407346026,399,399
49,-10400.6912067674,0.035535253819990564,423,423
50,-10400.695669031367,0.04968684236122539,427,427
51,-10400.694155350035,0.02745125658835723,429,429
52,-10400.685436966261,0.05039647294190333,448,448
53,-10400.693456970144,0.07010214614401049,452,452
54,-10400.690568876109,0.04064578697567524,454,454
55,-10400.683902393357,0.05408542756934406,478,478
56,-10400.694480567796,0.07563281326558144,482,482
57,-10400.690939789947,0.04122802986675658,484,484
58,-10400.695683614405,0.022917739376078536,489,489
59,-10400.695508936384,0.01883325989729215,493,493
60,-10400.686405640776,0.04919376816357586,509,509
61,-10400.693875129624,0.07115190195397118,513,513
62,-10400.691112773678,0.03963451633807756,515,515
63,-10400.683812966665,0.0551579376682718,539,539
64,-10400.694305427722,0.07737844347938663,543,543
65,-10400.690762636003,0.04241951358921811,545,545
66,-10400.695604273194,0.021721504142784176,550,550
67,-10400.695522115231,0.01841027421329057,555,555
68,-10400.695885940611,0.014355556599516026,590,590
69,-10400.696551785742,0.021450890814264045,594,594
70,-10400.696312315618,0.011441012321507418,596,596
71,-10400.695542197845,0.01749396926469937,616,616
72,-10400.69650552032,0.02406641934712961,620,620
73,-10400.696173048897,0.013770762049348156,622,622
74,-10400.694677572004,0.022313668306795334,643,643
75,-10400.696229585363,0.03153634016543484,647,647
76,-10400.695681951755,0.017784240308640994,649,649
77,-10400.693959838783,0.026127279934267,670,670
78,-10400.696168318143,0.036449814500036454,674,674
79,-10400.695410323558,0.020428614225590808,676,676
80,-10400.691697519767,0.03480025579692474,695,695
81,-10400.695397677486,0.04860999700604576,699,699
82,-10400.694085194915,0.02782567213417174,701,701
83,-10400.690233422041,0.03963887389357529,722,722
84,-10400.695439603836,0.05555691624076139,726,726
85,-10400.693667989239,0.030726529494397387,728,728
86,-10400.683809648344,0.05567197017034571,748,748
87,-10400.69316565811,0.0769133206132313,752,752
88,-10400.68982334279,0.04455479904427312,754,754
89,-10400.68041761619,0.0625148391320692,777,777
90,-10400.693817875837,0.08766293908457183,781,781
91,-10400.689325680209,0.047751335082290805,783,783
92,-10400.695354051397,0.026457146808115117,788,788
93,-10400.695136189384,0.02187452568500091,792,792
94,-10400.696411365585,0.017370142714791703,798,798
95,-10400.696130039056,0.014824041291267145,800,800
96,-10400.69471264269,0.022416903984916817,821,821
97,-10400.696244364122,0.03143768705054528,825,825
98,-10400.695711709512,0.017760688188207127,827,827
99,-10400.693911708506,0.026852278470202953,847,847
100,-10400.696138407946,0.037341177596200814,851,851
101,-10400.695371432377,0.02108236140106963,853,853
102,-10400.69178345169,0.03509516746709873,872,872
103,-10400.695462577454,0.04905907148615715,876,876
104,-10400.694163866106,0.02792419150009559,878,878
105,-10400.689955193457,0.041142749798895914,899,899
106,-10400.695331672787,0.057723906237052265,903,903
107,-10400.69349325456,0.032046805050910454,905,905
108,-10400.683805687542,0.05671287115253469,924,924
109,-10400.693336198496,0.07809452970586156,928,928
110,-10400.68995926798,0.04506112296677768,930,930
111,-10400.695210023967,0.013228815222312201,935,935
112,-10400.695210023967,0.019077210666777825,958,958
