iter,dual_obj,r,f_evals,∇f_evals
0,-1.0000000000000007,0.0059333814991817104,1,1
1,-1.0199125190964027,0.5312655517637401,8,8
2,-1.0227656333318569,0.3690762990128569,11,11
3,-1.0238376871641786,0.44881761342645726,15,15
4,-1.0239823290027643,0.1554464519816151,19,19
5,-1.0244450661725488,0.12895109565309285,23,23
6,-1.0244961682871605,0.004986874018989673,28,28
7,-1.024584392119733,0.011358181423051089,33,33
8,-1.0245887118004087,0.00620007898630337,37,37
9,-1.0245883702445384,0.012839774048461816,39,39
10,-1.0245890813223728,0.00896946745560534,43,43
11,-1.0245896678768918,0.010702981782140852,47,47
12,-1.024589960252933,0.00514823489163474,53,53
13,-1.0245912518769593,0.006112342283959127,58,58
14,-1.024591464472715,0.004533727676585553,65,65
15,-1.0245919008026536,0.00642730104003103,69,69
16,-1.0245917723172133,0.0035455720152785253,71,71
17,-1.0245920132864594,0.0018846778797330932,77,77
18,-1.0245919949118962,0.001455023053516441,81,81
19,-1.0245920120567948,0.001266132262686931,88,88
20,-1.0245920466738674,0.001709109514717616,93,93
21,-1.0245920422917394,0.0007763866866556113,98,98
22,-1.0245920387893286,0.0005883931320988522,118,118
23,-1.0245920506719381,0.001223633672829183,123,123
24,-1.024592048857742,0.00029800358554077366,128,128
25,-1.0245920490367624,0.0004601761194960585,149,149
26,-1.0245920530001247,0.00038696668753979147,154,154
27,-1.0245920528073884,0.0002650803886132258,159,159
28,-1.0245920537103537,0.00018136175235031193,165,165
29,-1.024592054553382,0.000306416933027881,170,170
30,-1.0245920547073293,0.00020662571924312534,175,175
31,-1.0245920548402443,0.00021499758349158293,181,181
32,-1.0245920525552012,0.00035634243250717845,195,195
33,-1.0245920561380755,0.0005470111084140972,200,200
34,-1.0245920559540491,0.0002101112098960578,205,205
35,-1.0245920566043898,0.0006349390116532905,210,210
36,-1.0245920574173286,0.00014859450740592473,215,215
37,-1.0245920583419388,0.00020173873051285152,221,221
38,-1.0245920542723437,0.0003475977528019092,233,233
39,-1.0245920596749112,0.0006354126943082794,238,238
40,-1.0245920591324005,0.0001898255743488786,243,243
41,-1.024592060033577,0.0007866191468757777,248,248
42,-1.0245920610206396,0.0001472844485869984,253,253
43,-1.0245920616066218,0.00022820704969259142,259,259
44,-1.024592051352879,0.00037305784132549147,269,269
45,-1.0245920618109579,0.0007199443987586096,274,274
46,-1.024592060524636,0.00019566076071705907,279,279
47,-1.0245920594254496,0.00020125256947789438,298,298
48,-1.0245920631769034,0.00012902939790288004,303,303
49,-1.0245920627426637,4.1431218563009464e-5,308,308
50,-1.0245920632243406,0.0002673990419085337,313,313
51,-1.0245920636334376,0.00024346379922710049,318,318
52,-1.0245920637233898,9.50145918123535e-5,323,323
53,-1.0245920637702546,6.641062056569891e-5,330,330
54,-1.024592063900247,0.00010026774838925445,335,335
55,-1.0245920638808421,3.675709450720599e-5,340,340
56,-1.0245920638812762,3.5144279508791954e-5,357,357
57,-1.0245920639193797,5.411544367805998e-5,362,362
58,-1.0245920639139294,2.1654752461741644e-5,367,367
59,-1.0245920639161243,1.6590721234610584e-5,389,389
60,-1.0245920639261297,2.907914078148499e-5,394,394
61,-1.0245920639247514,8.785237764513676e-6,399,399
62,-1.0245920639251,1.0753192636075992e-5,414,414
63,-1.0245920638898942,3.604466385978555e-5,421,421
64,-1.0245920639230115,6.360042667943877e-5,426,426
65,-1.0245920639187358,2.1946487458596176e-5,431,431
66,-1.0245920639141022,2.1751319459528684e-5,445,445
67,-1.0245920639279087,3.767758752468153e-5,450,450
68,-1.0245920639255182,1.2464829689001755e-5,455,455
69,-1.024592063924949,1.1443946388245418e-5,469,469
70,-1.0245920639292811,1.978873019403693e-5,474,474
71,-1.0245920639286188,6.374631673577991e-6,479,479
