iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
54,-10293.87339487673,6.177027067748373,61.153059103232806,0.0018636771688515677,1,⊕
55,-10300.460079547542,6.117786933572178,61.153059103232806,0.037041390123787196,1,⊕
56,-10301.191856389843,6.90866136906571,61.153059103232806,0.007219853727087235,1,⊕
57,-10301.484097725695,6.117539986727487,61.153059103232806,0.0017523902443154341,1,⊕
58,-10302.28364492898,4.831977892890175,61.153059103232806,0.005427097352214803,1,⊕
59,-10305.015679548425,6.28025475118879,61.153059103232806,0.028205455890429693,1,⊕
60,-10306.862361661417,8.6557042101772,61.153059103232806,0.008556394010838657,1,⊕
61,-10315.500574571193,4.8045469893712855,61.153059103232806,0.034426316999238274,1,⊕
62,-10318.433532934825,6.0897706499439215,61.153059103232806,0.03045643049824225,1,⊕
63,-10321.46243601994,6.12904352085112,61.153059103232806,0.0353848573137131,1,⊕
64,-10321.749972769114,5.887168279526038,61.153059103232806,0.004873883289306438,1,⊕
65,-10334.026493431,5.781454508952768,61.153059103232806,0.056917478308135955,1,⊕
66,-10334.026493431,5.781454508952768,3.292186818654935,-0.24074334206820075,3,⊕
67,-10334.026493431,5.781454508952768,0.1772355170430441,-1.03694800045025,1,⊕
68,-10335.003880143733,5.146628252199536,0.26585327556456617,0.9546341536266254,1,⊕
69,-10336.088620787532,3.2048849209639814,0.26585327556456617,0.9202441350432524,1,⊕
70,-10336.817073635588,2.672371248502705,0.39877991334684926,0.9848342927625133,1,⊕
71,-10337.810955101759,2.602307277261665,0.598169870020274,1.0052166023375637,1,⊕
72,-10339.276024341134,2.6115524765910694,0.897254805030411,0.98648020103477,1,⊕
73,-10340.700281074756,2.8179046111533177,0.897254805030411,0.924267683210701,1,⊕
74,-10341.904147615289,3.1348657573196683,0.897254805030411,0.8243253479354858,2,⊕
75,-10342.754924373316,3.6894035237571967,0.897254805030411,0.44869377934213023,1,⊕
76,-10343.787696789455,3.2856548267361174,0.897254805030411,0.4552781773133351,1,⊕
77,-10344.842535882137,3.5591146670916043,0.897254805030411,0.4794662262518121,1,⊕
78,-10345.727692882236,3.317791942495583,0.897254805030411,0.46546278726494256,1,⊕
79,-10346.846919009122,3.615530616236355,0.897254805030411,0.4924479610662479,1,⊕
80,-10347.81920409748,3.241089494691211,0.897254805030411,0.5525224285273611,2,⊕
81,-10348.876887710016,3.652699510546891,0.897254805030411,0.480341174564619,1,⊕
82,-10349.734514866937,3.3346151512320783,0.897254805030411,0.5179491552620946,2,⊕
83,-10350.771521137642,3.6773052848413608,0.897254805030411,0.5441535189850996,1,⊕
84,-10352.017000089929,3.1408771507659896,0.897254805030411,0.6415768366153144,2,⊕
85,-10352.825685890484,3.673891530353288,0.897254805030411,0.4459979959246282,1,⊕
86,-10353.834893216499,3.2020020180446265,0.897254805030411,0.4789111663635808,1,⊕
87,-10354.786200873565,3.8147129368486006,0.897254805030411,0.4517300197625647,1,⊕
88,-10355.792290759626,3.1733904956318866,0.897254805030411,0.5345596747335982,2,⊕
89,-10356.751042891636,3.7460198971988983,0.897254805030411,0.4644286167425873,1,⊕
90,-10357.683983237333,3.260239239552774,0.897254805030411,0.5239054432951967,2,⊕
91,-10358.620804785092,3.696553129477977,0.897254805030411,0.5163184988679146,1,⊕
92,-10359.779417766837,3.124897060905044,0.897254805030411,0.603787409165586,2,⊕
93,-10360.610481370024,3.653488877415479,0.897254805030411,0.4267338533050463,1,⊕
94,-10361.520440644217,3.286411145228012,0.897254805030411,0.4398368747542688,1,⊕
95,-10362.47286952655,3.56119449592798,0.897254805030411,0.4792802610160184,1,⊕
96,-10363.436350766258,3.1803734998602047,0.897254805030411,0.5529258601760018,2,⊕
97,-10364.3789314168,3.5659396773388354,0.897254805030411,0.45339353225458995,1,⊕
98,-10365.117973138857,3.4541576354299055,0.897254805030411,0.436313453240254,1,⊕
99,-10366.09147096111,3.2825643335152677,0.897254805030411,0.5338137798167857,1,⊕
100,-10367.2084422502,3.0777787361733635,0.897254805030411,0.6425160122676754,2,⊕
101,-10367.796044257606,3.628380065492788,0.897254805030411,0.36922428530883594,1,⊕
102,-10368.72622851974,3.211128339850996,0.897254805030411,0.4279035929518899,1,⊕
103,-10369.478055076761,3.8160835637935784,0.897254805030411,0.39903920891489747,1,⊕
104,-10370.437191143643,3.1848823213060133,0.897254805030411,0.5086236427954142,2,⊕
105,-10371.172899422538,3.6008389465319457,0.897254805030411,0.4100247598426059,1,⊕
106,-10372.0247574017,3.0545630864243902,0.897254805030411,0.5161643699504311,1,⊕
107,-10372.680582120673,4.143303883543988,0.897254805030411,0.36401803672962785,1,⊕
108,-10373.71041168384,2.989433098775571,0.897254805030411,0.5106392166979824,2,⊕
109,-10374.390038575812,3.656090127177663,0.897254805030411,0.3947489015227128,1,⊕
110,-10375.22698584905,3.070218355980833,0.897254805030411,0.4659264506400435,1,⊕
111,-10375.89314375055,3.616958806033536,0.897254805030411,0.43339117821368656,1,⊕
112,-10376.926273657631,2.8018701767198833,0.897254805030411,0.5630040480479636,2,⊕
113,-10377.52040436849,3.300178596863563,0.897254805030411,0.39404852517582406,1,⊕
114,-10378.281137378872,2.789245110989141,0.897254805030411,0.4797279242242645,1,⊕
115,-10378.921058597525,2.644324805691322,0.897254805030411,0.40784094189635367,1,⊕
116,-10379.36133330381,2.9050679648563675,0.897254805030411,0.34501802057621295,2,⊕
117,-10379.832575610011,2.717347440298635,0.897254805030411,0.34346763112153966,2,⊕
118,-10380.096867499375,3.3894055276340262,0.897254805030411,0.2132254328148417,2,⊕
119,-10380.754531386201,2.6003300831868863,0.897254805030411,0.41362203214557647,2,⊕
120,-10380.978164641883,3.228399131028962,0.897254805030411,0.1842799595209132,2,⊕
121,-10381.574252144133,2.6046037439947276,0.897254805030411,0.3757089424404622,2,⊕
122,-10381.831602133745,3.055586592898664,0.897254805030411,0.21136536546140122,2,⊕
123,-10382.375898344739,2.60866642510392,0.897254805030411,0.36254478677476554,2,⊕
124,-10382.65130398493,2.9876451468999967,0.897254805030411,0.22443415102975098,2,⊕
125,-10383.165024817252,2.630142532470796,0.897254805030411,0.34950435390646795,2,⊕
126,-10383.447897170101,2.9786763641328022,0.897254805030411,0.2282435863622027,2,⊕
127,-10383.949863556469,2.637658015533427,0.897254805030411,0.34297905146047336,2,⊕
128,-10384.224038511484,2.9934646101288904,0.897254805030411,0.22091193864962724,2,⊕
129,-10384.726053310853,2.6333059270944466,0.897254805030411,0.3413528628330801,2,⊕
130,-10384.987461788067,3.0049233674469247,0.897254805030411,0.21150439575025728,2,⊕
131,-10385.485623448727,2.6178605798251144,0.897254805030411,0.3380845386182835,2,⊕
132,-10385.744915748228,2.9609669073770597,0.897254805030411,0.21026014609867366,2,⊕
133,-10386.198659858013,2.547157001583549,0.897254805030411,0.3185398908099686,2,⊕
134,-10386.458952088422,2.78528018392403,0.897254805030411,0.216472242409272,2,⊕
135,-10386.837410934806,2.508919482909604,0.897254805030411,0.2890157507543816,2,⊕
136,-10387.086675655833,2.6978192251695243,0.897254805030411,0.21256327282805168,2,⊕
137,-10387.432357342615,2.46813673280001,0.897254805030411,0.2762957908310385,2,⊕
138,-10387.661373230763,2.647463716825232,0.897254805030411,0.2017550900185632,1,⊕
139,-10387.988287801707,2.4131080860066345,0.897254805030411,0.2705706299017319,2,⊕
140,-10388.225951288478,2.6437664986270013,0.897254805030411,0.19994404633810212,1,⊕
141,-10388.541668390626,2.3940464731231104,0.897254805030411,0.2589198507004559,2,⊕
142,-10388.734820803453,2.595955977829526,0.897254805030411,0.17963329033186284,2,⊕
143,-10389.071498672874,2.3401225912842962,0.897254805030411,0.2739445594853046,2,⊕
144,-10389.125745421463,2.7807199500791886,0.897254805030411,0.049996695898060585,2,⊕
145,-10389.411155687927,2.2798197495131243,0.897254805030411,0.22060908614409644,2,⊕
146,-10389.475606468344,2.6360562828396237,0.897254805030411,0.06186241554135331,1,⊕
147,-10389.751690958421,2.266081753475373,0.897254805030411,0.22751944915424052,2,⊕
148,-10389.780480546879,2.7713244215811677,0.897254805030411,0.027740567382790602,2,⊕
149,-10390.084317350302,2.2672403345880476,0.897254805030411,0.23575290802474577,2,⊕
150,-10390.094825621505,2.8757704940713964,0.897254805030411,0.009971375813595756,2,⊕
151,-10390.408947173804,2.2821686690911376,0.897254805030411,0.23688052932226414,2,⊕
152,-10390.426103962243,2.8811972154703085,0.897254805030411,0.016071793395460943,2,⊕
153,-10390.728785352881,2.2945243012050645,0.897254805030411,0.22939781364416936,2,⊕
154,-10390.752366231869,2.878836515815621,0.897254805030411,0.021924873177155742,2,⊕
155,-10391.04579398728,2.303637952906373,0.897254805030411,0.2237058839086012,2,⊕
156,-10391.0709007486,2.885373160871541,0.897254805030411,0.023230298052655838,2,⊕
157,-10391.35935924906,2.3096751798651804,0.897254805030411,0.22017957723062342,2,⊕
158,-10391.384184592707,2.8897380687740273,0.897254805030411,0.022895855126382755,2,⊕
159,-10391.66864087993,2.3127516137310447,0.897254805030411,0.21727770184115186,2,⊕
160,-10391.69225228982,2.8913527012125315,0.897254805030411,0.021741852193441335,2,⊕
161,-10391.973141596927,2.314116571362311,0.897254805030411,0.21473080235713343,2,⊕
162,-10391.994743019888,2.892813585727842,0.897254805030411,0.01987839668814093,2,⊕
163,-10392.27260469725,2.314695163021031,0.897254805030411,0.21251116929000935,2,⊕
164,-10392.291810440069,2.8941907819865684,0.897254805030411,0.017669966092169857,2,⊕
165,-10392.56685123848,2.3148002097135225,0.897254805030411,0.21042142561437033,2,⊕
166,-10392.5834543496,2.8954423488579,0.897254805030411,0.01527620019655591,2,⊕
167,-10392.855517001342,2.314256966604361,0.897254805030411,0.20826108198157753,2,⊕
168,-10392.869004672828,2.897262984950564,0.897254805030411,0.012416058441680668,2,⊕
169,-10393.137180981426,2.3117934249900185,0.897254805030411,0.2056066145573285,2,⊕
170,-10393.145537898876,2.9020697375468134,0.897254805030411,0.007708929728570804,2,⊕
171,-10393.406634859944,2.3031420329560275,0.897254805030411,0.20119948345261363,2,⊕
172,-10393.723363795467,2.2969716762403656,0.897254805030411,0.30734213839276414,2,⊕
173,-10394.172933757674,1.794734874038867,0.897254805030411,0.5753630898148041,3,⊕
174,-10394.460992947774,2.1047191522346087,0.897254805030411,0.5048776386702369,3,⊕
175,-10394.96618228224,1.0511212301651036,0.897254805030411,0.8909025668550236,3,⊕
176,-10394.98718316,3.0701338712503317,0.897254805030411,0.04768533759995857,3,⊕
177,-10395.610502691627,1.0450930488119548,0.897254805030411,0.9066672850549572,3,⊕
178,-10395.80315932888,1.6301423295311614,0.897254805030411,0.531832667755664,3,⊕
179,-10395.96796702823,2.1219334809853083,0.897254805030411,0.4129259806377975,3,⊕
180,-10396.363788004446,1.4456496676721364,0.897254805030411,0.8152244164359441,3,⊕
181,-10396.600866199691,1.3355944197942764,0.897254805030411,0.7499039703610012,4,⊕
182,-10396.831824540512,1.3130478897570552,0.897254805030411,0.7497066814239761,3,⊕
183,-10397.09037495135,0.8812419553248029,0.897254805030411,0.935600954587488,4,⊕
184,-10397.233831021389,1.6033052755280435,0.897254805030411,0.48845121320032053,4,⊕
185,-10397.513868264428,1.0383054247808463,0.897254805030411,0.9180577464698563,4,⊕
186,-10397.692577238156,1.1870434496554614,0.897254805030411,0.7180918108627539,3,⊕
187,-10397.982578645571,0.6427366204457562,1.3458822075456165,1.0645724593570105,4,⊕
188,-10398.150318768805,1.608556443847191,1.3458822075456165,0.6165309597716657,4,⊕
189,-10398.51026355015,0.9192259551401395,1.3458822075456165,0.9001756982158681,4,⊕
190,-10398.808423818333,0.6863247517473497,1.3458822075456165,0.8855274560437847,5,⊕
191,-10398.826008803684,2.171369069174346,1.3458822075456165,0.060035563601259126,5,⊕
192,-10399.261077892217,1.1789187732182826,1.3458822075456165,0.9131065584498824,4,⊕
193,-10399.542598766566,0.7104810004843292,1.3458822075456165,0.9007018952373824,5,⊕
194,-10399.64497540119,1.0235882732561914,1.3458822075456165,0.49078442678634293,5,⊕
195,-10399.886056761085,0.4622449703524632,2.0188233113184246,1.0083604185851442,6,⊕
196,-10399.9650326732,1.1986898680554836,2.0188233113184246,0.383964845876572,7,⊕
197,-10400.033284122403,1.4993695233835505,2.0188233113184246,0.23205283377222655,7,⊕
198,-10400.37407571022,0.5421444009424231,3.028234966977637,1.0263685382433483,7,⊕
199,-10400.55022006493,0.510645108931013,3.028234966977637,0.858200981039639,9,⊕
200,-10400.681845621462,0.17009710546913107,4.542352450466455,1.0550068560393404,10,⊕
201,-10400.696559304504,0.023915842411328835,4.542352450466455,1.035451534221532,33,✓
202,-10400.696801280086,0.0008996332762298008,4.542352450466455,1.0253496020746886,31,✓
203,-10400.69680172956,2.3747650354242517e-6,4.542352450466455,1.0016629321195714,31,✓
