iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
0,-0.9999999999999996,0.39830752629073624,1.0,0.0,0,
1,-1.0000000838942136,0.03298733130833039,1.0,0.9999999520574341,7,✓
2,-1.000000085661871,0.0025303798464391034,1.0,0.9999973187566511,13,✓
3,-1.0000000856690618,0.00010064257429031797,1.0,0.999411790497646,15,✓
4,-1.0000000856690785,8.197231630727336e-7,1.0,0.883840142776607,20,✓
