iter,dual_obj,r
0,-0.9999999999999996,0.033250294448143834
1,-1.0000009717653382,1.69516778862262
2,-1.0000000697481448,0.032200874311710925
3,-1.0000009078878667,0.17462868835265438
4,-1.0000010259268963,0.14727708605429027
5,-1.0000011552550825,0.10198484343371815
6,-1.00000122826845,0.05685495070040867
7,-1.0000012767241948,0.04575167664599273
8,-1.000001306317757,0.029592033246392657
9,-1.0000013255474876,0.020263128648922508
10,-1.0000013365175113,0.0169611160712638
11,-1.0000013440785789,0.009471363499055148
12,-1.0000013485600128,0.009667554173437098
13,-1.0000013515836654,0.006591524325806713
14,-1.0000013536792498,0.004493689929915057
15,-1.0000013550369136,0.004604445581226731
16,-1.000001355468739,0.014088696051771776
17,-1.000001356128959,0.002933430059260876
18,-1.0000013565200168,0.008047359506621199
19,-1.0000013568578217,0.0021891229049769223
20,-1.0000013571281638,0.0035193846631428587
21,-1.000001357267031,0.0026984940712466605
22,-1.0000013573938733,0.0007941250727080135
23,-1.0000013574676696,0.0014809972188389435
24,-1.0000013575053728,0.0011717439436362447
25,-1.0000013575307551,0.0004178017632654545
26,-1.0000013575449378,0.0003346028991465755
27,-1.0000013575527444,0.00029507788507763047
28,-1.0000013575548283,0.0009487379237992612
29,-1.000001357557341,0.0002744335859610066
30,-1.0000013575592503,0.0003267315422159765
31,-1.0000013575601263,0.00029414644622718206
32,-1.0000013575610736,0.00011334755281491496
33,-1.0000013575617162,0.0001425958701813229
34,-1.000001357562053,0.00015589973242782732
35,-1.0000013575623266,4.28593816368146e-5
36,-1.000001357562519,3.472880898414194e-5
37,-1.000001357562625,6.630387318646559e-5
38,-1.000001357562681,4.5442685400769455e-5
39,-1.0000013575627298,1.471140868413358e-5
40,-1.0000013575627493,9.040525573448316e-5
41,-1.0000013575627658,1.1221721859380179e-5
42,-1.0000013575627842,1.9214001846011807e-5
43,-1.0000013575627906,3.207288458662408e-5
44,-1.0000013575627973,1.112597010459716e-5
45,-1.0000013575628013,1.0072658869760228e-5
46,-1.0000013575628028,9.203509547132993e-6
47,-1.0000013575628042,7.260130020791e-6
48,-1.0000013575628048,2.853325979754567e-6
49,-1.0000013575628053,1.5833446787198366e-6
50,-1.0000013575628057,2.864440027847391e-6
51,-1.000001357562806,2.2512139633955107e-6
52,-1.0000013575628062,4.189437759034916e-6
53,-1.0000013575628062,9.000892093120972e-7
