iter,dual_obj,r
0,-0.9999999999999996,0.023561055364490806
1,-1.0026873398354443,1.1623906967289963
2,-1.0026867920335134,0.09602684892181146
3,-1.002848362287729,0.09834763570473816
4,-1.003053863447609,0.05175292488070547
5,-1.0031235921558628,0.03384137637472795
6,-1.003215469926806,0.034090275086646464
7,-1.0033014362698416,0.03421780451343499
8,-1.0034133705019053,0.024547729266406994
9,-1.0034715214915588,0.02174546581419084
10,-1.0035010651569118,0.010570788176027156
11,-1.0035144166985446,0.007133822338485026
12,-1.003522472201358,0.007135091240905376
13,-1.003529866327073,0.0037927891978654744
14,-1.0035340272836333,0.00803223321800492
15,-1.003535764103857,0.01029317453067708
16,-1.0035370328401005,0.00491398944875674
17,-1.003538223630845,0.004433711643902729
18,-1.0035388278203041,0.004578699441925659
19,-1.003539381318772,0.002788261875137116
20,-1.0035397346681538,0.001890194031759693
21,-1.0035400479709393,0.0018926115300732273
22,-1.003540245606642,0.0020849268052557544
23,-1.0035404312623346,0.0007250130799137838
24,-1.0035405701713067,0.001141036314187501
25,-1.0035406511895573,0.000582433015316448
26,-1.0035407049042433,0.00025078435682282307
27,-1.0035407345205096,0.0003553609754262843
28,-1.0035407481499825,0.0006749625416545887
29,-1.0035407559253156,0.00022456485341288996
30,-1.0035407616672671,0.0002481990756547912
31,-1.0035407705462271,0.00024755452389476186
32,-1.003540773051007,0.0004311063527223932
33,-1.0035407757847543,0.00015321289019535293
34,-1.0035407780388355,0.00010900842255791857
35,-1.0035407795100943,5.780860171792302e-5
36,-1.0035407804844683,0.0001359729894965265
37,-1.0035407810208123,8.628027866161343e-5
38,-1.003540781479001,3.297250951646846e-5
39,-1.0035407817453483,6.760014990540279e-5
40,-1.0035407819405342,3.5288966579337306e-5
41,-1.0035407820460804,3.7834170252964996e-5
42,-1.0035407821253781,2.148363287746977e-5
43,-1.0035407821616875,3.8750937193217434e-5
44,-1.0035407821880304,1.8867039107031037e-5
45,-1.0035407822155242,1.0054563107068021e-5
46,-1.003540782243058,8.77236124658996e-6
47,-1.003540782256805,1.3075587875221575e-5
48,-1.0035407822664246,9.099092171412584e-6
49,-1.0035407822711984,7.293204912069082e-6
50,-1.0035407822744766,3.7144020770223432e-6
51,-1.0035407822772038,5.30025780694483e-6
52,-1.0035407822785796,5.808432101292812e-6
53,-1.003540782279801,2.91503678942707e-6
54,-1.0035407822807978,1.5900215426609612e-6
55,-1.0035407822812583,4.497044171926291e-6
56,-1.0035407822815001,1.9892508088286926e-6
57,-1.0035407822817435,9.914023166199924e-7
