iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
0,-0.9999999999999996,0.39830752629073624,1.0,0.0,0,
1,-1.0720945858020041,0.5627690161307375,1.0,0.9355945446029568,3,⊕
2,-1.1307048141971485,0.27893353271904986,1.4999999999999996,1.0457534834412208,2,⊕
3,-1.1965911778874556,0.08862736005641217,2.2499999999999996,1.102960734120319,3,⊕
4,-1.2768137030749056,0.32666287287204543,3.374999999999999,1.0010874745696363,3,⊕
5,-1.3773278703089638,0.08497125322703984,5.062499999999996,1.0518528328899588,3,⊕
6,-1.4799992355247156,0.1605938967067033,7.593749999999993,1.0304353219030569,3,⊕
7,-1.5950052118880294,0.03576765303461169,11.390624999999993,1.0158731529755836,3,⊕
8,-1.643752133027391,0.02173636826737548,14.163601823670032,1.0091931793620763,3,✓
9,-1.6437736870799995,0.0008421700956342891,14.163601823670032,1.0051658492808426,1,✓
10,-1.6438282432815328,3.0334337953112883e-5,14.163601823670032,1.0022659444733715,4,✓
11,-1.6438282485777052,4.1669026968834627e-8,14.163601823670032,1.0293358523542553,4,✓
