iter,dual_obj,r
0,-0.9999999999999996,0.03325429530504921
1,-1.0000000613203759,1.6952480098998453
2,-1.0000000044016673,0.032200755736773355
3,-1.0000000572898593,0.1746206539907491
4,-1.0000000647387235,0.14731332855525917
5,-1.0000000729006815,0.10196740357691231
6,-1.000000077508741,0.056860681252317385
7,-1.0000000805670766,0.04574895567358877
8,-1.0000000824349462,0.029594038293689957
9,-1.0000000836486889,0.020261386833717775
10,-1.0000000843410826,0.016962155981968582
11,-1.0000000848182837,0.009474768770723186
12,-1.0000000851010895,0.00966708031664482
13,-1.0000000852918713,0.006593092360748545
14,-1.000000085424078,0.004494265780441084
15,-1.0000000855096984,0.004640407435347409
16,-1.0000000855367863,0.014038935714761018
17,-1.000000085578582,0.002964310540055963
18,-1.0000000856031377,0.008040593448588046
19,-1.0000000856245725,0.0021756647438207414
20,-1.000000085641599,0.00354439901154955
21,-1.0000000856503846,0.0026798590174588782
22,-1.000000085658409,0.0008057099094854259
23,-1.0000000856630629,0.0014911196973249002
24,-1.000000085665447,0.0011665024115751503
25,-1.0000000856670543,0.00041396519652263256
26,-1.00000008566795,0.00033412830763618454
27,-1.0000000856684426,0.00030203653224713644
28,-1.000000085668573,0.0009433848991981191
29,-1.0000000856687332,0.00027526469955655504
30,-1.0000000856688533,0.000331527827690784
31,-1.000000085668909,0.0002908271033024572
32,-1.0000000856689693,0.00011233301034951162
33,-1.0000000856690094,0.00014509158291329177
34,-1.0000000856690312,0.00015454120335940685
35,-1.0000000856690485,4.190535926433499e-5
36,-1.00000008566906,3.553001963251326e-5
37,-1.0000000856690672,6.700920164058256e-5
38,-1.000000085669071,4.4728037471069415e-5
39,-1.0000000856690738,1.540825655003226e-5
40,-1.000000085669075,9.059715272080428e-5
41,-1.0000000856690763,1.0719859724070025e-5
42,-1.0000000856690774,2.001988936425547e-5
43,-1.0000000856690776,3.155830101544558e-5
44,-1.000000085669078,1.137701939715718e-5
45,-1.0000000856690785,9.997568545011649e-6
46,-1.0000000856690785,9.328609954488593e-6
47,-1.0000000856690785,7.12376219913694e-6
