iter,dual_obj,r
0,-0.9999999999999996,0.033187051906680566
1,-1.0000153770704554,1.693892393364016
2,-1.000015293176858,0.06927646775934147
3,-1.000016997624402,0.20153100190620593
4,-1.0000184722416139,0.03780173930424809
5,-1.000018923570727,0.0689065515572795
6,-1.0000194300209733,0.01921947981644904
7,-1.000019832249097,0.047567881001498384
8,-1.0000202131077607,0.02741131829644
9,-1.0000206759712327,0.024663271452563806
10,-1.000020919400107,0.0266114015869895
11,-1.0000210680859054,0.011203382474095726
12,-1.0000211577564198,0.00632305155389299
13,-1.0000213036742862,0.010633212238419931
14,-1.0000213421671114,0.009505951880487919
15,-1.0000213823048052,0.019232030572467043
16,-1.0000213992317744,0.012889518011830633
17,-1.0000214441675415,0.007997166558080025
18,-1.0000214537044902,0.008317989574340922
19,-1.000021460577466,0.0011836056599043687
20,-1.0000214624625052,0.001836883656354934
21,-1.000021463075181,0.0015779859684675415
22,-1.0000214636596014,0.0007784938294029862
23,-1.0000214644141334,0.000888287475453036
24,-1.0000214650313786,0.001138965283672481
25,-1.0000214653398942,0.0007083878849267248
26,-1.00002146549474,0.0002664416819481485
27,-1.0000214655682345,0.0003740246419775155
28,-1.0000214655812942,0.0005441494890614024
29,-1.000021465616763,0.00010014292945020988
30,-1.0000214656404256,0.000356021824979284
31,-1.0000214656520259,0.00023174681609412147
32,-1.0000214656671957,0.0001336373008287114
33,-1.0000214656749473,9.861399978174517e-5
34,-1.0000214656786504,0.00010579295593056
35,-1.0000214656807045,7.340683526202263e-5
36,-1.0000214656823727,3.433866608061523e-5
37,-1.0000214656835935,2.6869607086916805e-5
38,-1.0000214656843227,2.633319855617485e-5
39,-1.0000214656847242,4.624409998714413e-5
40,-1.0000214656848108,2.833874922238736e-5
41,-1.000021465684987,1.902083951288922e-5
42,-1.0000214656850805,1.4662928522534654e-5
43,-1.0000214656851447,1.8902084320791722e-5
44,-1.000021465685177,1.0023183645719375e-5
45,-1.0000214656852198,4.317724980947322e-6
46,-1.0000214656852517,3.4429934238770216e-6
47,-1.0000214656852655,6.471231253575205e-6
48,-1.000021465685271,3.962774361352517e-6
49,-1.0000214656852764,1.2998395173818246e-6
50,-1.000021465685279,1.98669227843246e-6
51,-1.0000214656852804,2.9902505515402303e-6
52,-1.0000214656852808,2.1376876966965666e-6
53,-1.0000214656852817,8.550419154382013e-7
