iter,dual_obj,r,f_evals,∇f_evals
0,-0.9999999999999996,0.03298789888081624,1,1
1,-1.0000609097743711,1.689784264186496,3,3
2,-1.0000605918625447,0.06995694224949847,12,12
3,-1.0000672340871328,0.1993379358187968,18,18
4,-1.0000730671170248,0.0382750177003039,21,21
5,-1.000074814175838,0.0675005456721067,24,24
6,-1.000076799131976,0.019587252337167738,27,27
7,-1.0000783422306576,0.04702630943774893,30,30
8,-1.0000798512930225,0.026743682318514945,33,33
9,-1.0000816600467064,0.025615033324871545,36,36
10,-1.0000826141933248,0.026121386940241485,39,39
11,-1.0000832139637525,0.010908176051895079,42,42
12,-1.0000835668180559,0.0070008079763243134,45,45
13,-1.000084177757686,0.01148439730831507,48,48
14,-1.0000843325013247,0.009261038126465065,51,51
15,-1.0000844794500994,0.023393355798091604,54,54
16,-1.000084557767314,0.009704324737891937,56,56
17,-1.0000847341000214,0.010559980314876847,60,60
18,-1.0000847750664783,0.0072045973931143545,62,62
19,-1.0000848045137705,0.0014196978389675288,65,65
20,-1.0000848142021552,0.00077624987322511,68,68
21,-1.0000848171708798,0.0019155123685680906,71,71
22,-1.0000848191287417,0.0010523911863308416,74,74
23,-1.000084822250227,0.0012251758836662446,77,77
24,-1.0000848251262122,0.0008442782581368672,80,80
25,-1.0000848264096587,0.0007253028422183806,83,83
26,-1.0000848268523093,0.00045287082848316675,86,86
27,-1.0000848270968314,0.0006262778899029497,89,89
28,-1.0000848271546139,0.000330169307420709,91,91
29,-1.0000848272887706,0.00021933251444400674,95,95
30,-1.00008482738636,0.0002029421649495452,98,98
31,-1.0000848274582483,0.0002743898822965075,101,101
32,-1.0000848274911704,0.00019904504723848107,103,103
33,-1.0000848275229663,7.744201321138936e-5,106,106
34,-1.000084827537967,0.00012613708652816854,109,109
35,-1.0000848275470033,5.9830009491890104e-5,112,112
36,-1.0000848275545984,3.537025272546738e-5,115,115
37,-1.0000848275597434,2.5215186919302537e-5,118,118
38,-1.0000848275628187,1.9142949421047305e-5,121,121
39,-1.0000848275644036,6.2025271434001e-5,124,124
40,-1.0000848275648921,2.371465548219411e-5,126,126
41,-1.0000848275656329,2.306063859573542e-5,130,130
42,-1.0000848275661294,1.172155153803543e-5,133,133
43,-1.0000848275665206,1.4148197997133723e-5,136,136
44,-1.0000848275666685,1.842355556703442e-5,138,138
45,-1.0000848275668535,4.004995250221225e-6,141,141
46,-1.0000848275669867,1.0079539669392795e-5,144,144
47,-1.0000848275670475,6.282784531594282e-6,146,146
48,-1.000084827567091,3.2818475265903835e-6,149,149
49,-1.000084827567116,2.9794941040929943e-6,152,152
50,-1.0000848275671297,1.6771280968392354e-6,155,155
51,-1.0000848275671357,5.664486812784441e-6,158,158
52,-1.0000848275671397,9.543937314035593e-7,160,160
