iter,dual_obj,r,f_evals,∇f_evals
0,-0.9999999999999996,0.021125151943409127,1,1
1,-1.0036242287594455,0.881689062040464,3,3
2,-1.0036252459898605,0.10007180214801512,19,19
3,-1.003826137402465,0.07405169060589677,25,25
4,-1.0040660026104484,0.048963315155923774,28,28
5,-1.0041741408580673,0.03337998330266648,31,31
6,-1.0043383808982609,0.04143579014563334,34,34
7,-1.0045237722474356,0.03446843749197814,37,37
8,-1.0047106619517614,0.02118794602228872,40,40
9,-1.0047852587300163,0.01692847879624814,43,43
10,-1.0048226363447683,0.009770710524226857,46,46
11,-1.0048449941483337,0.008836428825153219,49,49
12,-1.0048632480640156,0.00774242338083973,52,52
13,-1.0048757811398163,0.0034050823288732856,55,55
14,-1.004880533458119,0.00208385698775726,59,59
15,-1.0048835079792724,0.0028263469970434695,62,62
16,-1.0048863805225918,0.01129294140489498,65,65
17,-1.0048878858974697,0.004616735101583025,68,68
18,-1.0048888738920838,0.0011472966873445215,71,71
19,-1.0048906079970576,0.0022009218337533977,74,74
20,-1.0048916647333361,0.00253517454220822,77,77
21,-1.0048921348849449,0.0021843660524951394,80,80
22,-1.0048924860944335,0.0007924939851446936,83,83
23,-1.0048927811529655,0.0005496232569551622,86,86
24,-1.0048930042608788,0.0007128098354008205,89,89
25,-1.0048931075144705,0.0018263872314673083,92,92
26,-1.004893199873768,0.0005045574568150786,95,95
27,-1.0048932632613294,0.00028645955884179947,98,98
28,-1.0048933212876352,0.0003393064633009287,101,101
29,-1.0048933471213328,0.0006582748309885784,104,104
30,-1.0048933556922677,0.00045290435106832416,106,106
31,-1.0048933657232593,9.947460571009775e-5,109,109
32,-1.0048933766569677,0.00022062021688757288,112,112
33,-1.0048933818046297,0.00024660041927973965,115,115
34,-1.004893387163731,0.00012561558720627995,118,118
35,-1.0048933902664259,0.00015494588712112588,121,121
36,-1.0048933920569074,9.863802768971033e-5,124,124
37,-1.0048933940295877,6.80983581674715e-5,127,127
38,-1.004893394783743,0.00012810827901239897,129,129
39,-1.0048933955080908,4.442999234218664e-5,132,132
40,-1.0048933961024071,2.658839520814962e-5,135,135
41,-1.004893396347324,8.400419941302868e-5,137,137
42,-1.0048933964602467,4.220477759062431e-5,139,139
43,-1.0048933965869833,1.492517118992662e-5,142,142
44,-1.0048933967063516,1.2809193215491794e-5,145,145
45,-1.004893396786617,1.727843679867034e-5,148,148
46,-1.0048933968204146,5.715676670203265e-6,150,150
47,-1.0048933968472786,9.59664222589027e-6,153,153
48,-1.0048933968627862,6.218917036350078e-6,156,156
49,-1.004893396870269,5.163594572420084e-6,159,159
50,-1.004893396875423,7.661138748619217e-6,162,162
51,-1.0048933968788016,2.5827605401676194e-6,165,165
52,-1.004893396883148,5.6793201994633026e-6,168,168
53,-1.0048933968872604,6.502358555684071e-6,171,171
54,-1.004893396889887,5.5285499295796355e-6,174,174
55,-1.0048933968910614,6.7579430202251396e-6,177,177
56,-1.0048933968920024,3.023671821237964e-6,180,180
57,-1.0048933968929599,1.0082553436798645e-6,183,183
58,-1.0048933968939484,2.1325827214333044e-6,186,186
59,-1.0048933968944405,1.675763406188347e-6,189,189
60,-1.0048933968946183,1.500224370957184e-6,192,192
61,-1.0048933968947915,1.3226302834597706e-6,195,195
62,-1.0048933968948943,1.0092512982575875e-6,198,198
63,-1.0048933968950373,5.762277170721883e-7,201,201
