iter,dual_obj,r,f_evals,∇f_evals
0,-0.9999999999999996,0.033251870219551095,1,1
1,-1.0000006131666153,1.6951993909940601,3,3
2,-1.000000044011481,0.03220082761386228,5,5
3,-1.0000005728621801,0.17462552396638287,10,10
4,-1.000000647344125,0.1472913599061933,12,12
5,-1.0000007289521813,0.1019779782827268,15,15
6,-1.0000007750253341,0.05685721426130594,18,18
7,-1.0000008056027219,0.04575060739670605,21,21
8,-1.0000008242775273,0.029592826124626822,24,24
9,-1.0000008364123554,0.020262443960796732,27,27
10,-1.0000008433348848,0.016961526980903648,30,30
11,-1.0000008481061082,0.009472703145626782,33,33
12,-1.000000850933886,0.009667368265749649,36,36
13,-1.0000008528416888,0.006592140987264009,39,39
14,-1.0000008541638525,0.00449391611027919,42,42
15,-1.0000008550203137,0.004618599561755826,45,45
16,-1.0000008552921495,0.01406914002512921,47,47
17,-1.0000008557092697,0.0029455793345650205,50,50
18,-1.0000008559555424,0.00804479545101433,53,53
19,-1.0000008561691593,0.002183788841108894,56,56
20,-1.0000008563396119,0.0035292792893041945,59,59
21,-1.0000008564273235,0.002691147851376234,62,62
22,-1.0000008565074396,0.0007986893452641092,65,65
23,-1.0000008565539942,0.001485004643537936,68,68
24,-1.0000008565778031,0.001169686331341032,71,71
25,-1.00000085659384,0.0004162828572323383,74,74
26,-1.0000008566027927,0.0003344178144016089,77,77
27,-1.000000856607719,0.0002978107039818874,80,80
28,-1.0000008566090275,0.000946665598912353,82,82
29,-1.000000856610621,0.00027476718599590827,85,85
30,-1.000000856611825,0.0003286248734880631,88,88
31,-1.0000008566123784,0.0002928410023098687,90,90
32,-1.000000856612978,0.0001129480490029182,93,93
33,-1.0000008566133836,0.00014358089731867428,96,96
34,-1.0000008566135954,0.00015537162757819716,99,99
35,-1.0000008566137686,4.2479834099117924e-5,102,102
36,-1.0000008566138903,3.5043746644737326e-5,105,105
37,-1.0000008566139569,6.658552384172317e-5,108,108
38,-1.0000008566139924,4.516078600847144e-5,111,111
39,-1.000000856614023,1.4983518473363269e-5,114,114
40,-1.0000008566140355,9.050635247716158e-5,117,117
41,-1.000000856614046,1.102003544798092e-5,120,120
42,-1.0000008566140572,1.95300622732443e-5,124,124
43,-1.0000008566140615,3.1873561074236955e-5,126,126
44,-1.0000008566140657,1.1225663132145778e-5,129,129
45,-1.0000008566140681,1.004445697909605e-5,132,132
46,-1.0000008566140695,9.253238495165419e-6,135,135
47,-1.0000008566140703,7.206821066095339e-6,138,138
48,-1.0000008566140703,2.8301217362728614e-6,141,141
49,-1.000000856614071,1.6074178015122662e-6,144,144
50,-1.0000008566140715,2.893650153108613e-6,147,147
51,-1.0000008566140715,2.2372807171804036e-6,150,150
52,-1.0000008566140712,4.231858346628965e-6,153,153
53,-1.0000008566140715,8.889226312701318e-7,155,155
