iter,dual_obj,r
0,-0.9999999999999996,0.03298789888081714
1,-1.0000609097743711,1.6897842641864622
2,-1.0000605918625447,0.06995694224949844
3,-1.0000672340871328,0.1993379358187952
4,-1.0000730671170248,0.0382750177003024
5,-1.000074814175838,0.06750054567210409
6,-1.000076799131976,0.0195872523371659
7,-1.0000783422306576,0.047026309437744766
8,-1.0000798512930227,0.026743682318515167
9,-1.0000816600467064,0.025615033324869765
10,-1.0000826141933248,0.026121386940243366
11,-1.0000832139637523,0.010908176051898635
12,-1.0000835668180559,0.007000807976323259
13,-1.000084177757686,0.011484397308315986
14,-1.0000843325013247,0.009261038126466814
15,-1.0000844794500992,0.02339335579808334
16,-1.0000845577673139,0.009704324737901419
17,-1.0000847341000214,0.010559980314875293
18,-1.0000847750664783,0.007204597393116352
19,-1.0000848045137705,0.0014196978389565884
20,-1.0000848142021552,0.000776249873225332
21,-1.0000848171708796,0.0019155123685699188
22,-1.0000848191287417,0.0010523911863289021
23,-1.0000848222502272,0.0012251758836669105
24,-1.0000848251262122,0.0008442782581353177
25,-1.0000848264096585,0.0007253028422174368
26,-1.0000848268523093,0.0004528708284848324
27,-1.0000848270968314,0.000626277889897003
28,-1.0000848271546139,0.0003301693074240397
29,-1.0000848272887706,0.00021933251444364706
30,-1.00008482738636,0.00020294216494982247
31,-1.0000848274582486,0.00027438988230599274
32,-1.0000848274911704,0.00019904504723070924
33,-1.0000848275229663,7.744201321089819e-5
34,-1.000084827537967,0.000126137086528618
35,-1.0000848275470033,5.9830009492616086e-5
36,-1.0000848275545984,3.5370252725824726e-5
37,-1.0000848275597434,2.52151869195512e-5
38,-1.0000848275628187,1.914294942090993e-5
39,-1.0000848275644036,6.202527142717474e-5
40,-1.0000848275648921,2.371465548657777e-5
41,-1.000084827565633,2.30606385961785e-5
42,-1.0000848275661294,1.1721551536092635e-5
43,-1.0000848275665206,1.4148197997362706e-5
44,-1.0000848275666685,1.8423555566819328e-5
45,-1.0000848275668535,4.0049952482219695e-6
46,-1.0000848275669867,1.0079539667501862e-5
47,-1.0000848275670475,6.2827845331487465e-6
48,-1.000084827567091,3.2818475268120046e-6
49,-1.000084827567116,2.979494104088615e-6
50,-1.0000848275671297,1.6771280972829858e-6
51,-1.0000848275671357,5.664486810008477e-6
52,-1.0000848275671397,9.543937329626217e-7
